endTime,artistName,trackName,msPlayed
2021-08-28 12:46,The Strumbellas,Spirits,6330
2021-08-28 12:46,Petit Biscuit,Sunset Lover,24782
2021-08-28 12:46,JONY,Love Your Voice,1490
2021-08-28 12:46,Jasleen Royal,"Ranjha (From ""Shershaah"")",228855
2021-08-28 12:49,GASHI,Roses,169573
2021-08-28 12:52,Leonard Cohen,Hallelujah,182996
2021-08-28 12:56,MiyaGi,Captain,214282
2021-08-28 13:00,Dax,She Cheated Again,166869
2021-08-28 13:02,StaySolidRocky,Party Girl,147800
2021-08-28 13:05,Labrinth,Still Don't Know My Name,153294
2021-08-28 13:07,Labrinth,Mount Everest,157497
2021-08-28 13:11,The 1975,Sincerity Is Scary,225955
2021-08-28 13:16,Lukas Graham,Love Someone,205440
2021-08-28 13:20,Fleurie,Hurts Like Hell,232000
2021-08-28 13:20,Ludacris,Rest Of My Life,41582
2021-08-28 14:18,KAYJAY,Akhiyan da Surma - slowed + reverb,229831
2021-08-28 14:18,Jasleen Royal,"Ranjha (From ""Shershaah"")",5794
2021-08-28 14:22,KAYJAY,Akhiyan da Surma - slowed + reverb,229831
2021-08-28 14:24,Priyankaa Bhattacharya,Mangala Chandika Stotram,5548
2021-08-28 14:24,Jasleen Royal,"Ranjha (From ""Shershaah"")",43690
2021-08-28 14:25,Jasraj Joshi,Shiv Tandav Stotra,34843
2021-08-28 14:25,Jasraj Joshi,Shiv Tandav Stotra,154
2021-08-28 14:29,KAYJAY,Akhiyan da Surma - slowed + reverb,229831
2021-08-28 14:33,Jasleen Royal,"Ranjha (From ""Shershaah"")",228855
2021-08-28 14:37,Petit Biscuit,Sunset Lover,237792
2021-08-28 14:37,Rival,Seasons,24093
2021-08-30 06:00,KAYJAY,Akhiyan da Surma - slowed + reverb,138874
2021-08-31 08:30,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",9925
2021-08-31 08:31,Chaitxnya,Mann Bharryaa Lofi,10663
2021-08-31 08:31,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",12118
2021-08-31 08:35,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",260540
2021-09-01 01:31,Alan Walker,Sweet Dreams,138391
2021-09-01 01:34,Sigala,You for Me,63683
2021-09-01 01:37,Drake,What’s Next,178153
2021-09-01 01:40,Eminem,Godzilla (feat. Juice WRLD),210800
2021-09-01 01:45,Sik World,Reflection,222979
2021-09-01 01:45,Rod Wave,Rags2Riches (feat. ATR Son Son),5304
2021-09-01 04:01,Ludacris,Rest Of My Life,4690
2021-09-01 04:05,B Praak,"Mann Bharryaa 2.0 (From ""Shershaah"")",266005
2021-09-01 04:06,Jasraj Joshi,Shiv Tandav Stotra,52734
2021-09-01 04:10,KAYJAY,Akhiyan da Surma - slowed + reverb,229831
2021-09-01 04:15,Jasleen Royal,"Ranjha (From ""Shershaah"")",228855
2021-09-01 04:19,Petit Biscuit,Sunset Lover,237792
2021-09-01 04:23,Rival,Seasons,248275
2021-09-01 04:27,Anuv Jain,Gul,217241
2021-09-01 04:32,KSI,Patience (feat. YUNGBLUD & Polo G),181720
2021-09-01 04:33,KSI,Holiday,81685
