,genre,artist,track,popularity,danceability,
66932,Hip-Hop,Nelly,Dilemma,78,0.725,
66938,Hip-Hop,"Tyler, The Creator",Boredom,74,0.559,
66944,Hip-Hop,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,76,0.658,
66973,Hip-Hop,SZA,Broken Clocks,74,0.684,
66992,Hip-Hop,G-Eazy,"Me, Myself & I",79,0.757,
67045,Hip-Hop,Ashanti,Foolish,73,0.477,
67057,Hip-Hop,6LACK,Switch,75,0.664,
67066,Hip-Hop,6LACK,Seasons (feat. Khalid),73,0.605,
67070,Hip-Hop,Offset,Father Of 4 (feat. Big Rube),75,0.736,
67071,Hip-Hop,Lil Peep,Benz Truck (гелик),76,0.602,
67118,Hip-Hop,NAV,Call Me,72,0.673,
67122,Hip-Hop,Mac Miller,Dunno,70,0.622,
67127,Hip-Hop,OutKast,Roses,72,0.751,
67149,Hip-Hop,Jeremih,Planez,73,0.65,
67153,Hip-Hop,A$AP Rocky,A$AP Forever,73,0.469,
67154,Hip-Hop,Ying Yang Twins,Get Low,72,0.521,
67158,Hip-Hop,Lil Peep,Runaway,74,0.399,
67162,Hip-Hop,NF,Therapy Session,70,0.693,
67165,Hip-Hop,Kid Cudi,Soundtrack 2 My Life,68,0.524,
67167,Hip-Hop,Drake,Houstatlantavegas,70,0.683,
67197,Hip-Hop,Future,Never Stop,71,0.571,
67226,Hip-Hop,Jaden Smith,SOHO,72,0.547,
67239,Hip-Hop,Future,Temptation,70,0.66,
67281,Hip-Hop,Future,Promise U That,70,0.638,
67302,Hip-Hop,6LACK,Luving U,70,0.723,
67344,Hip-Hop,CeeLo Green,Fuck You,67,0.69,
67363,Hip-Hop,Kodak Black,Too Many Years,71,0.665,
67372,Hip-Hop,Drake,Sandra’s Rose,70,0.487,
67401,Hip-Hop,Lil Peep,Broken Smile (My All),72,0.545,
67444,Hip-Hop,Ms. Lauryn Hill,Doo Wop (That Thing),74,0.535,
67449,Hip-Hop,BROCKHAMPTON,SWEET,71,0.718,
67511,Hip-Hop,Jeremih,Down On Me,72,0.7,
67546,Hip-Hop,Earl Sweatshirt,Chum,66,0.51,
67554,Hip-Hop,Ty Dolla $ign,Love U Better (feat. Lil Wayne & The-Dream),71,0.645,
67561,Hip-Hop,$uicideBoy$,Runnin' Thru The 7th With My Woadies,70,0.526,
67578,Hip-Hop,Lil Baby,Never Needed No Help,68,0.713,
67627,Hip-Hop,J. Cole,Rich Niggaz,66,0.586,
67630,Hip-Hop,Nipsey Hussle,Double Up (feat. Belly and Dom Kennedy),67,0.604,
67650,Hip-Hop,Chris Jeday,Ahora Dice,76,0.704,
67726,Hip-Hop,Lil Peep,Sunlight On Your Skin - Bonus Track,69,0.68,
67736,Hip-Hop,Kid Ink,Show Me (feat. Chris Brown),72,0.711,
67749,Hip-Hop,Kat Dahlia,I Think I'm In Love,69,0.632,
67790,Hip-Hop,Meek Mill,Almost Slipped,67,0.49,
67841,Hip-Hop,Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),71,0.733,
67844,Hip-Hop,Jay Rock,Tap Out (feat. Jeremih),65,0.676,
67909,Hip-Hop,Jason Derulo,Whatcha Say,67,0.615,
67927,Hip-Hop,BROCKHAMPTON,GUMMY,67,0.687,
68035,Hip-Hop,Trey Songz,Solid,70,0.574,
68037,Hip-Hop,Chris Jeday,Ahora Dice - Real Hasta La Muerte Remix,72,0.742,
68096,Hip-Hop,KYLE,Moment (feat. Wiz Khalifa),66,0.708,
68134,Hip-Hop,Arizona Zervas,No I in Team,67,0.74,
68185,Hip-Hop,Cooliecut,Empty,66,0.707,
68241,Hip-Hop,"quickly, quickly",Getsomerest/sleepwell,68,0.637,
68256,Hip-Hop,Drake,4422,65,0.621,
68296,Hip-Hop,6LACK,Sorry,66,0.423,
68304,Hip-Hop,Jory Boy,No Te Hagas,70,0.748,
68323,Hip-Hop,Yelawolf,Till It's Gone,67,0.523,
68335,Hip-Hop,Future,Last Breath,68,0.675,
68411,Hip-Hop,Janelle Monáe,I Like That,67,0.482,
68480,Hip-Hop,Paulo Londra,Nena Maldición (feat. Lenny Tavárez),79,0.762,
68628,Hip-Hop,Wiz Khalifa,On My Level (feat. Too $hort),65,0.72,
68701,Hip-Hop,Noname,"Shadow Man (feat. Phoelix, Smino & Saba)",64,0.611,
68711,Hip-Hop,Jaden Smith,PCH,66,0.642,
68753,Hip-Hop,Justin Quiles,No Quiero Amarte (feat. Zion & Lennox),75,0.734,
68771,Hip-Hop,Jacquees,Come Thru,67,0.725,
68904,Hip-Hop,Ty Dolla $ign,Droptop in the Rain (feat. Tory Lanez),66,0.73,
69064,Hip-Hop,Pitbull,Feel This Moment,67,0.673,
69189,Hip-Hop,SAINt JHN,Reflex,66,0.692,
69419,Hip-Hop,Usher,Love in This Club (feat. Young Jeezy),66,0.573,
69748,Hip-Hop,Duki,Sin Culpa (feat. DrefQuila),82,0.641,
70653,Hip-Hop,Young Thug,She Wanna Party (feat. Millie Go Lightly),57,0.578,
77055,Children’s Music,Joji,YEAH RIGHT,81,0.672,
77060,Children’s Music,Joji,TEST DRIVE,78,0.646,
77071,Children’s Music,X Ambassadors,Unsteady,78,0.389,
77116,Children’s Music,Joji,R.I.P. (feat. Trippie Redd),71,0.716,
77117,Children’s Music,KALEO,Way Down We Go,76,0.489,
77135,Children’s Music,Solange,Jerrod,68,0.409,
77136,Children’s Music,The Neighbourhood,Daddy Issues,75,0.588,
77150,Children’s Music,Mac Ayres,Easy,73,0.722,
77190,Children’s Music,6LACK,Switch,74,0.664,
77191,Children’s Music,Hinder,Lips Of An Angel,71,0.476,
77196,Children’s Music,6LACK,Seasons (feat. Khalid),73,0.605,
77219,Children’s Music,Bush,Glycerine,66,0.437,
77227,Children’s Music,Summer Walker,CPR,71,0.693,
77241,Children’s Music,The Black Keys,Howlin' For You,69,0.705,
77260,Children’s Music,Lucky Daye,Roll Some Mo,70,0.405,
77285,Children’s Music,Solange,My Skin My Logo,69,0.724,
77288,Children’s Music,Cage The Elephant,Trouble,71,0.47,
77292,Children’s Music,6LACK,Luving U,70,0.723,
77302,Children’s Music,Red Hot Chili Peppers,Dark Necessities,75,0.7,
77305,Children’s Music,grandson,Despicable,68,0.576,
77323,Children’s Music,The Raconteurs,"Steady, As She Goes",65,0.524,
77331,Children’s Music,Grizfolk,Bob Marley,67,0.562,
77333,Children’s Music,The Neighbourhood,Afraid,69,0.464,
77335,Children’s Music,Amber Run,I Found,72,0.389,
77360,Children’s Music,H.E.R.,Carried Away,67,0.693,
77394,Children’s Music,Moon Taxi,Two High,68,0.68,
77421,Children’s Music,Nicotine's Famous Honey,Running,64,0.454,
77431,Children’s Music,Jakob Ogawa,All Your Love,66,0.568,
77444,Children’s Music,Cautious Clay,Cold War,65,0.637,
77458,Children’s Music,Foo Fighters,Everlong - Acoustic Version,72,0.643,
77472,Children’s Music,MISSIO,Bottom Of The Deep Blue Sea,66,0.573,
77480,Children’s Music,for KING & COUNTRY,joy.,67,0.68,
77502,Children’s Music,Janelle Monáe,I Like That,67,0.482,
77530,Children’s Music,Papa Roach,Elevate,70,0.666,
77535,Children’s Music,Sabrina Claudio,Unravel Me,66,0.387,
77545,Children’s Music,The Score,Revolution,66,0.572,
77572,Children’s Music,Casting Crowns,Only Jesus,66,0.572,
77599,Children’s Music,one sonic society,Great Are You Lord,66,0.492,
77601,Children’s Music,The Band CAMINO,14-Feb,68,0.607,
77609,Children’s Music,Wet,11 Hours - Branchez Remix,67,0.687,
