,artist,track,acousticness,energy,popularity,favorite,prediction
101949,Maggie Rogers,On + Off,0.293,0.5920000000000001,66,0,1
101971,Jon Z,DESPUES QUE TE PERDI,0.248,0.813,76,0,1
101974,Sia,Genius,0.0864,0.621,75,0,1
102008,Morgan Wallen,Cover Me Up,0.235,0.437,65,0,1
102046,Steve Aoki,Are You Lonely (feat. ISÁK),0.0214,0.7929999999999999,77,0,1
102057,Rico Love,Fight for You,0.0756,0.473,66,0,1
102059,Blake Rose,Lost,0.216,0.687,68,0,1
102069,Emily Blunt,Can You Imagine That?,0.816,0.381,67,0,1
102077,James TW,Suitcase,0.267,0.396,72,0,1
102086,Paulo Londra,Nena Maldición (feat. Lenny Tavárez),0.178,0.631,79,0,1
102087,Oliver Heldens,This Groove,0.00779,0.909,75,0,1
102118,Kevin Roldan,PPP - Remix,0.287,0.7490000000000001,81,0,1
102122,Dean Lewis,Stay Awake,0.311,0.797,71,0,1
102124,Brooks & Dunn,Red Dirt Road - with Cody Johnson,0.629,0.44,59,0,1
102133,CLC,No,0.00785,0.722,71,0,1
102166,Pat Barrett,Build My Life,0.1119999999999999,0.591,62,0,1
102230,Bryant Myers,Ganas Sobran,0.369,0.597,80,0,1
102254,bülow,Sweet Little Lies,0.2289999999999999,0.727,71,0,1
102278,Alex Rose,Me Odias?,0.552,0.581,72,0,1
102289,Calvin Harris,Giant (with Rag'n'Bone Man) - Robin Schulz Remix,0.0634,0.88,72,0,1
102305,Natti Natasha,Pa' Mala Yo,0.477,0.769,72,0,1
102338,Fuego,Good Vibes - Official Remix,0.0544,0.614,73,0,1
102365,Benjamin Ingrosso,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,0.0106,0.718,77,0,1
102466,Mark Ronson,Nothing Breaks Like a Heart - Don Diablo Remix,0.179,0.871,71,0,1
102765,Camilo,No Te Vayas,0.0527,0.721,73,0,1
103252,Paulo Londra,Dímelo,0.0563,0.71,74,0,1
103351,Jenny Lewis,Hollywood Lawn,0.2339999999999999,0.611,56,0,1
103352,Denny Strickland,Don't You Wanna,0.256,0.6920000000000001,55,0,1
103982,Rels B,Euromillón,0.769,0.585,71,0,1
103986,YannaMaria,When We Dance,0.2339999999999999,0.54,26,0,1
105430,YFN Lucci,Too Much (feat. Wale),0.0819,0.547,44,0,1
106452,ayokay,Stay With Me (feat. Jeremy Zucker),0.489,0.695,75,0,1
107945,Gallant,Put That On Everything - Recorded at Spotify Studios NYC,0.292,0.457,41,0,1
108216,Bigflo & Oli,Demain - Bigflo & Oli X Petit Biscuit,0.407,0.7090000000000001,63,0,1
108241,Curren$y,300 Thousand,0.315,0.411,41,0,1
109314,Zé Neto & Cristiano,Largado Às Traças - Ao Vivo,0.611,0.8690000000000001,76,0,1
